example_id                                                             | status  | run_time        |
./spec/components/schools/hero_component_spec.rb[1:5:1:3]              | passed  | 0.01201 seconds |
./spec/components/schools/hero_component_spec.rb[1:5:1:4]              | passed  | 0.01036 seconds |
./spec/models/admin_user_spec.rb[1:1:1]                                | passed  | 0.11153 seconds |
./spec/models/admin_user_spec.rb[1:1:2]                                | passed  | 0.15624 seconds |
./spec/models/admin_user_spec.rb[1:2:1]                                | passed  | 0.00611 seconds |
./spec/models/admin_user_spec.rb[1:2:2]                                | passed  | 0.00765 seconds |
./spec/models/admin_user_spec.rb[1:2:3]                                | passed  | 0.00682 seconds |
./spec/models/admin_user_spec.rb[1:2:4]                                | passed  | 0.0077 seconds  |
./spec/models/admin_user_spec.rb[1:3:1]                                | passed  | 0.07505 seconds |
./spec/models/admin_user_spec.rb[1:3:2]                                | passed  | 0.09153 seconds |
./spec/models/admin_user_spec.rb[1:3:3]                                | passed  | 0.07516 seconds |
./spec/models/admin_user_spec.rb[1:3:4]                                | passed  | 0.10854 seconds |
./spec/models/admin_user_spec.rb[1:4:1]                                | passed  | 0.08683 seconds |
./spec/models/admin_user_spec.rb[1:4:2]                                | passed  | 0.08265 seconds |
./spec/models/admin_user_spec.rb[1:4:3]                                | passed  | 0.09096 seconds |
./spec/models/admin_user_spec.rb[1:5:1]                                | passed  | 0.07854 seconds |
./spec/models/admin_user_spec.rb[1:5:2]                                | passed  | 0.11227 seconds |
./spec/models/ai_conversation_spec.rb[1:1:1]                           | passed  | 0.00778 seconds |
./spec/models/ai_conversation_spec.rb[1:1:2]                           | passed  | 0.00677 seconds |
./spec/models/ai_conversation_spec.rb[1:1:3]                           | passed  | 0.00807 seconds |
./spec/models/ai_conversation_spec.rb[1:2:1]                           | passed  | 0.01191 seconds |
./spec/models/ai_conversation_spec.rb[1:2:2]                           | passed  | 0.01108 seconds |
./spec/models/ai_conversation_spec.rb[1:3:1]                           | passed  | 0.00832 seconds |
./spec/models/ai_conversation_spec.rb[1:4:1:1]                         | passed  | 0.12181 seconds |
./spec/models/ai_conversation_spec.rb[1:4:2:1]                         | passed  | 0.12021 seconds |
./spec/models/ai_conversation_spec.rb[1:4:3:1]                         | passed  | 0.14238 seconds |
./spec/models/ai_conversation_spec.rb[1:4:4:1]                         | passed  | 0.12791 seconds |
./spec/models/ai_conversation_spec.rb[1:5:1:1]                         | passed  | 0.13376 seconds |
./spec/models/ai_conversation_spec.rb[1:5:1:2]                         | passed  | 0.12095 seconds |
./spec/models/ai_conversation_spec.rb[1:6:1:1]                         | passed  | 0.13953 seconds |
